trial,lr,weight_decay,lora_r,lora_dropout,warmup_epochs,margin_m2,final_loss,special_test,lfw_decrease,score
0,1.18e-04,3.68e-02,4,0.01,3,0.38,7.6187,0.8730,0.9753,2.7212
1,2.55e-04,1.14e-04,4,0.04,1,0.36,3.3169,0.8978,0.9643,2.7598
2,1.35e-04,6.11e-04,4,0.09,3,0.26,3.5686,0.8714,0.9746,2.7174
3,1.63e-04,3.97e-03,8,0.19,3,0.44,6.6488,0.8939,0.9794,2.7672
4,1.01e-04,1.83e-04,4,0.01,3,0.28,4.7795,0.8753,0.9760,2.7265
5,2.30e-04,6.94e-04,32,0.16,3,0.47,2.0631,0.8962,0.9684,2.7608
6,1.98e-04,3.08e-02,32,0.08,1,0.45,1.2819,0.8939,0.9602,2.7479
7,1.14e-04,5.73e-04,16,0.20,3,0.26,2.0559,0.8815,0.9794,2.7424
8,5.06e-05,1.59e-02,16,0.07,1,0.46,11.2457,0.8830,0.9718,2.7379
9,2.10e-04,7.82e-04,32,0.13,3,0.34,0.9627,0.8978,0.9794,2.7749
10,4.53e-04,3.93e-03,32,0.13,2,0.21,0.6313,0.8691,0.9437,2.6819
11,3.84e-04,4.08e-03,8,0.20,2,0.41,2.8893,0.9016,0.9712,2.7744
12,3.84e-04,1.61e-03,8,0.14,2,0.40,2.5297,0.9078,0.9629,2.7786
13,3.20e-04,1.34e-03,8,0.13,2,0.31,1.3888,0.8908,0.9684,2.7500
14,2.96e-04,1.55e-03,32,0.13,2,0.33,0.7355,0.8916,0.9540,2.7371
15,4.99e-04,3.01e-04,8,0.16,2,0.50,4.3883,0.9040,0.9533,2.7612
16,7.19e-05,1.13e-02,32,0.10,2,0.40,4.7485,0.9055,0.9677,2.7787
17,5.91e-05,1.24e-02,8,0.10,2,0.40,9.8820,0.8644,0.9739,2.7028
18,8.10e-05,8.12e-03,16,0.05,2,0.42,6.8877,0.8931,0.9732,2.7594
19,7.24e-05,8.30e-03,8,0.11,1,0.37,7.5088,0.8768,0.9718,2.7255
20,1.75e-04,1.89e-03,32,0.15,1,0.30,0.5823,0.8916,0.9602,2.7433
21,3.56e-04,9.29e-04,32,0.17,2,0.33,0.9103,0.8885,0.9430,2.7199
22,2.27e-04,3.37e-04,32,0.11,2,0.38,0.9690,0.8923,0.9732,2.7579
23,8.86e-05,2.58e-03,32,0.12,2,0.42,4.3629,0.9024,0.9718,2.7766
24,8.26e-05,2.74e-03,32,0.08,2,0.43,4.8274,0.9094,0.9746,2.7933
25,6.34e-05,2.23e-02,32,0.08,2,0.48,8.6012,0.8947,0.9760,2.7653
26,1.36e-04,7.24e-03,8,0.06,2,0.44,6.7258,0.9016,0.9712,2.7744
27,9.20e-05,2.74e-03,16,0.10,2,0.40,5.5014,0.8900,0.9663,2.7464
28,7.21e-05,5.23e-03,32,0.09,1,0.36,3.2632,0.8939,0.9766,2.7644
